1.1 Edad:,1.2 Género:,3. Evaluación de Habilidades Blandas,"A continuación, por favor evalúa qué tan bien consideras que desarrollaste las siguientes habilidades blandas durante tu formación en la EPN. Usa una escala de 1 a 5, donde 1 = Nada desarrollado y 5 = Totalmente desarrollado. [Gestión: Gestionar actividades complejas, como proyectos de ingeniería, en el campo de estudio.]","A continuación, por favor evalúa qué tan bien consideras que desarrollaste las siguientes habilidades blandas durante tu formación en la EPN. Usa una escala de 1 a 5, donde 1 = Nada desarrollado y 5 = Totalmente desarrollado. [Comunicación efectiva: Presentar y defender proyectos técnicos en español e inglés en entornos profesionales.]","A continuación, por favor evalúa qué tan bien consideras que desarrollaste las siguientes habilidades blandas durante tu formación en la EPN. Usa una escala de 1 a 5, donde 1 = Nada desarrollado y 5 = Totalmente desarrollado. [Liderazgo: Dirigir equipos, organizando tareas y tomando decisiones clave.]","A continuación, por favor evalúa qué tan bien consideras que desarrollaste las siguientes habilidades blandas durante tu formación en la EPN. Usa una escala de 1 a 5, donde 1 = Nada desarrollado y 5 = Totalmente desarrollado. [Trabajo en equipo: Participar activamente en equipos para resolver problemas de ingeniería.]","A continuación, por favor evalúa qué tan bien consideras que desarrollaste las siguientes habilidades blandas durante tu formación en la EPN. Usa una escala de 1 a 5, donde 1 = Nada desarrollado y 5 = Totalmente desarrollado. [Ética profesional: Actuar con responsabilidad ética en la toma de decisiones técnicas, respetando normas y compromisos legales.]","A continuación, por favor evalúa qué tan bien consideras que desarrollaste las siguientes habilidades blandas durante tu formación en la EPN. Usa una escala de 1 a 5, donde 1 = Nada desarrollado y 5 = Totalmente desarrollado. [Responsabilidad social: Considerar aspectos jurídicos, culturales y de sostenibilidad al desarrollar soluciones de ingeniería.]","A continuación, por favor evalúa qué tan bien consideras que desarrollaste las siguientes habilidades blandas durante tu formación en la EPN. Usa una escala de 1 a 5, donde 1 = Nada desarrollado y 5 = Totalmente desarrollado. [Aprendizaje autónomo: Buscar activamente aprendizaje continuo y desarrollar habilidades profesionales de manera autónoma.]",4. Inserción Laboral,4.1 ¿Actualmente estás trabajando?,4.1.2 País:,4.1.3 ¿A qué tipo pertenece la institución en la que laboras?,4.1.4 Modalidad de trabajo:,4.1.5 ¿Cuánto tiempo lleva trabajando en su empleo actual?,"4.1.6 En una escala del 1 al 4 donde 1 es totalmente sin relación, y 4 es totalmente con relación ¿Cómo calificas la correspondencia entre tu formación académica y tu trabajo actual?",4.1.7 ¿Consideras que la formación académica ha contribuido a un mejor desempeño en tu vida profesional / laboral?,"4.1.8 ¿Consideras que la formación en habilidades blandas (gestión, comunicación efectiva, liderazgo, trabajo en equipo, ética profesional, responsabilidad social, aprendizaje autónomo) recibida en la EPN fue suficiente para enfrentar los desafíos del entorno laboral?",4.1.9 ¿Qué habilidades blandas sientes que más te ayudaron en tu inserción laboral? [Gestión],4.1.9 ¿Qué habilidades blandas sientes que más te ayudaron en tu inserción laboral? [Comunicación efectiva],4.1.9 ¿Qué habilidades blandas sientes que más te ayudaron en tu inserción laboral? [Liderazgo],4.1.9 ¿Qué habilidades blandas sientes que más te ayudaron en tu inserción laboral? [Trabajo en equipo],4.1.9 ¿Qué habilidades blandas sientes que más te ayudaron en tu inserción laboral? [Ética profesional],4.1.9 ¿Qué habilidades blandas sientes que más te ayudaron en tu inserción laboral? [Responsabilidad social],4.1.9 ¿Qué habilidades blandas sientes que más te ayudaron en tu inserción laboral? [Aprendizaje autónomo],4.1.9 ¿Qué habilidades blandas sientes que más te ayudaron en tu inserción laboral? [Todas las anteriores],4.1.9 ¿Qué habilidades blandas sientes que más te ayudaron en tu inserción laboral? [Otro],4.1.10 ¿Consideras que las prácticas preprofesionales y pasantías han contribuido a un mejor desempeño en tu vida profesional / laboral?,4.1.11 Rango salarial mensual (USD):,4.1.12 ¿Estas actualmente buscando trabajo?,4.1.13 ¿Por cuanto tiempo has estado buscando trabajo?,4.1.14 ¿Ha identificado alguna brecha o déficit en su formación académica que considere ha dificultado su inserción laboral?,"Si respondió ""Sí"", por favor especifique:",4.2 ¿Conoces o has utilizado la Bolsa de Empleo de la EPN?,"6.1 ¿Qué asignaturas te resultaron más relevantes durante la carrera? Para completar esta pregunta realizarlo separando por comas: Ejemplo: Estática, Mecánica de materiales, Dinámica","6.2 ¿Qué temas/áreas/contenido consideras que debieron incluirse en tu proceso de formación? Para completar esta pregunta realizarlo separando por comas: Ejemplo: Importancia de las buenas prácticas de TICS, TICS, Cobit",6.3 ¿Qué recomendaciones darías para mejorar la formación en tu carrera?,6.4 ¿Qué habilidades blandas crees que debieron ser fortalecidas mejor durante tu formación?,"6.5 Si pudieras agregar una habilidad blanda a tu formación académica, ¿cuál sería y cómo la aplicarías en tu carrera profesional?",carrera,anioGraduacion
29,Masculino,,3,3,3,4,4,3,5 (Totalmente desarrollado),,Si,Ecuador,Público,Tiempo completo,Menos de 6 meses,3.0,Si,Parcialmente,Sí,No,Sí,No,No,No,No,No,,Si,De $1001 a $1500,,,,,"d) No, pero me gustaría conocer más sobre cómo acceder","Ingeniería en sofware, Programación web, Datamining, Business intelligence","IA, analitica de datos, manejo de datos masivos, experiencia de usuario",Estar a la vanguardia en las nuevas tecnologias en general,La interración con el campo laboral,Manejo y control del tiempo en los proyectos para manejar entragas,(RRA20) COMPUTACIÓN,2025
23,Masculino,,3,3,3,3,4,3,5 (Totalmente desarrollado),,Si,Ecuador,Público,Tiempo completo,Menos de 6 meses,4.0,Si,Parcialmente,No,Sí,No,Sí,Sí,No,Sí,No,,Si,De $461 a $1000,,,,,"b) Sí, pero no la he utilizado","Análisis en espacios de Banach y de Hilbert, Teoría de operadores lineales y acotados, Introducción a la teoría de Distribuciones",Optativas para complementar las materias,Realizar intercambios estudiantiles,"Liderazgo, comunicación efectiva",Inteligencia emocional,(RRA20) MATEMÁTICA,2025
26,Masculino,,4,3,5 (Totalmente desarrollado),5 (Totalmente desarrollado),5 (Totalmente desarrollado),5 (Totalmente desarrollado),5 (Totalmente desarrollado),,No,,,,,,,,,,,,,,,,,,,Si,Menos de 6 meses,No estoy seguro/a,,"d) No, pero me gustaría conocer más sobre cómo acceder","Electrónica analogica, Control y sistemas HMI, Instrumentacion",Finanzas por ejemplo,Mas horas de clase para tener mas temas y prácticas,Liderazgo,Responsabilidad,(RRA20) ELECTROMECÁNICA,2025
24,Masculino,,3,3,3,4,4,4,4,,No,,,,,,,,,,,,,,,,,,,Si,Menos de 6 meses,No estoy seguro/a,,"a) Sí, la he utilizado para postularme a vacantes",Programación Orientada a Objetos,Metodologías,Mejorar profesores o programas asociaciones con certificaciones prácticas,La comunicación certera,Comunicación certera,(RRA20) SOFTWARE,2025
23,Masculino,,3,3,3,3,5 (Totalmente desarrollado),4,4,,No,,,,,,,,,,,,,,,,,,,Si,Menos de 6 meses,Sí,Falta de equipos,"d) No, pero me gustaría conocer más sobre cómo acceder",TCP/IP,Programación,Mejor preparación de ciertos docentes y más equipos,General,General,(RRA20) REDES Y TELECOMUNICACIONES,2025
24,Masculino,,3,3,4,4,4,3,3,,No,,,,,,,,,,,,,,,,,,,Si,Menos de 6 meses,Sí,Experiencia laboral,"a) Sí, la he utilizado para postularme a vacantes","Termodinámica, transferencia de calor, sistemas de vapor, control de sistemas mecánicos",Manejo de normativas ISO,Rediseñar la malla de acuerdo a los temas o campos más importantes en la industria.,Liderazgo,Manejo de personal es muy importante a la hora de trabar con equipos de trabajo al dirigir un proyecto.,(RRA20) MECÁNICA,2025
25,Masculino,,2,5 (Totalmente desarrollado),4,5 (Totalmente desarrollado),5 (Totalmente desarrollado),5 (Totalmente desarrollado),5 (Totalmente desarrollado),,No,,,,,,,,,,,,,,,,,,,Si,Menos de 6 meses,Sí,"Se evidenció una profunda brecha y un marcado déficit en áreas clave de la carrera, como Minería y Petróleos. Los docentes responsables de estas asignaturas en aquel entonces carecían tanto de experiencia práctica como de las habilidades pedagógicas necesarias para su adecuada enseñanza. Además, no contaban con vínculos directos con la industria, un aspecto fundamental para conectar a los estudiantes con el ámbito laboral y profesional de la carrera","d) No, pero me gustaría conocer más sobre cómo acceder","Yacimientos minerales y metalogenia, Geología del petróleo, Vulcanologia, Geotecnia","Geologia económica, Derecho minero, Vinculación con la industria minera y petrolera",Mejorar la conexión con las industrias mineras y petroles que faciliten las pasantias para ganar experiencia y tener mas oportunidades en el campo laborar,Proactividad y liderazgo,"Una habilidad blanda que añadiría es la inteligencia emocional, ya que permite gestionar mejor el estrés, liderar equipos y comunicarse de forma empática. En mi carrera profesional la aplicaría para tomar decisiones acertadas en situaciones críticas, coordinar eficazmente con colegas y comunicar resultados técnicos a la comunidad de manera clara y responsable.",(RRA20) GEOLOGÍA,2025
23,Masculino,,2,3,4,4,4,3,4,,Si,Ecuador,Privado,Tiempo completo,Entre 6 meses y 1 año,4.0,No,Parcialmente,No,No,No,Sí,No,Sí,No,No,,Si,De $461 a $1000,,,,,c) No la conozco,"Software Seguro, Interaccion Humano Computador, Juegos Interactivos, Aplicaciones Web, Aplicaciones Moviles, Sistemas Embebidos",Contenido y tecnologias actuales,"Mejorar la calidad de docencia y que las materias sean verdaderamente relevantes, actuales e interesantes para los estudiantes",comunicación efectiva,Liderazgo,(RRA20) SOFTWARE,2025
25,Masculino,,2,2,4,3,4,4,5 (Totalmente desarrollado),,Si,Ecuador,Privado,Tiempo completo,Entre 6 meses y 1 año,3.0,Si,No,Sí,Sí,Sí,No,No,No,No,No,,Si,De $461 a $1000,,,,,"b) Sí, pero no la he utilizado",Desarrollo de Aplicaciones Web y Móviles,Más temas actuales y vanguardistas,Dejar de enseñar tecnologías obsoletas,Comunicación profesional,Speaking,(RRA20) TECNOLOGÍAS DE LA INFORMACIÓN,2025
27,Femenino,,3,4,4,4,4,4,5 (Totalmente desarrollado),,Si,Ecuador,Privado,Tiempo completo,Entre 6 meses y 1 año,2.0,Si,Si,No,Sí,No,Sí,Sí,No,Sí,No,,Si,Hasta $460,,,,,"a) Sí, la he utilizado para postularme a vacantes",Econometria,Mayor desarrollo de programación en distintos lenguajes,Mayor empatia de los profesores,Escritura de todo tipo de informes,Habilidades de escritura,(RRA20) ECONOMÍA,2025
24,Masculino,,3,3,3,3,3,3,5 (Totalmente desarrollado),,Si,Ecuador,Privado,Tiempo completo,Menos de 6 meses,2.0,No,Parcialmente,No,No,Sí,Sí,No,No,No,No,,Si,De $461 a $1000,,,,,c) No la conozco,Transferencia de calor,"Normas es lo que mas se usa en la industria y nunca las dieron, normas Asme B31, API,Código Asme, Aws  Astm, Nace",No utilicen proyectores solo se leen las diapositivas,Trabajo autónomo y eso porque mandan a estudiar a uno mismo,Liderazgo,(RRA20) MECÁNICA,2025
23,Masculino,,4,4,4,4,4,4,4,,No,,,,,,,,,,,,,,,,,,,Si,Menos de 6 meses,No estoy seguro/a,,"d) No, pero me gustaría conocer más sobre cómo acceder",Aplicaciones estructurales,Más aprendizaje en estructuras y vias,Enseñanza practica,La practica,Mejoramiento en realizar memorias de calculo para contratación publica,(RRA20) INGENIERÍA CIVIL,2025
23,Femenino,,3,3,3,3,3,3,3,,No,,,,,,,,,,,,,,,,,,,Si,Menos de 6 meses,No estoy seguro/a,,c) No la conozco,Dinámica,"Tics, ecología",Nada,Nada,Nada,(RRA20) AGUA Y SANEAMIENTO AMBIENTAL,2025
25,Masculino,,4,3,5 (Totalmente desarrollado),5 (Totalmente desarrollado),5 (Totalmente desarrollado),5 (Totalmente desarrollado),5 (Totalmente desarrollado),,Si,Ecuador,Privado,Tiempo completo,Entre 6 meses y 1 año,3.0,Si,Si,No,No,Sí,Sí,No,No,Sí,No,,No,De $461 a $1000,,,,,"a) Sí, la he utilizado para postularme a vacantes","Programación PLC, instrumentaciones y redes industriales",Proyectos en campo industrial,Evaluar a profesores constantemente que creen que al tener nombramiento pueden tratar a los alumnos de mala forma,Hablar en público y trabajo en equipo,,(RRA20) ELECTRÓNICA Y AUTOMATIZACIÓN,2025
26,Femenino,,4,5 (Totalmente desarrollado),4,4,4,3,5 (Totalmente desarrollado),,No,,,,,,,,,,,,,,,,,,,Si,De 6 meses a 1 año,No,,c) No la conozco,Diseño de Proyectos Estructurales e Hidráulicos,Puentes,Más oportunidades de trabajo,Interacción en entrevistas de trabajo,Manejo financiero,(RRA20) INGENIERÍA CIVIL,2025
32,Masculino,,3,5 (Totalmente desarrollado),5 (Totalmente desarrollado),4,5 (Totalmente desarrollado),5 (Totalmente desarrollado),3,,No,,,,,,,,,,,,,,,,,,,Si,De 6 meses a 1 año,No estoy seguro/a,,"a) Sí, la he utilizado para postularme a vacantes","Ensayos no Destructivos, ciencia de materiales, procesos de Manufactura, Soldadura",Materiales no ferrosos,Desarrollar mejor las habilidades comunicacionales de los estudiantes.,Habilidades en el área de la comunicación,"Trabajo en equipo, la implementaría a través de talleres o deberes en grupo con un buen seguimiento de quienes trabajan y quienes no.",(RRA20) MECÁNICA,2025
29,Femenino,,4,5 (Totalmente desarrollado),5 (Totalmente desarrollado),5 (Totalmente desarrollado),5 (Totalmente desarrollado),5 (Totalmente desarrollado),5 (Totalmente desarrollado),,No,,,,,,,,,,,,,,,,,,,Si,Menos de 6 meses,No estoy seguro/a,,"a) Sí, la he utilizado para postularme a vacantes","Telemática, redes ópticas, y programación",Tics. Programación,Actualización al mercado laboral,Trabajo en equipo,"Perseverancia, inteligencia emocional",(RRA20) TELECOMUNICACIONES,2025
24,Masculino,,4,4,4,4,4,4,4,,Si,Ecuador,Público,Tiempo completo,Menos de 6 meses,3.0,Si,Si,Sí,Sí,No,Sí,Sí,Sí,Sí,No,,Si,De $461 a $1000,,,,,"b) Sí, pero no la he utilizado",Arquitectura de computadores y redes,"TICS, Cloud",Carreras mas especializadas en un campo,"Trabajo en equipo, resolución de problemas reales",resolución de problemas reales,(RRA20) COMPUTACIÓN,2025
30,Masculino,,5 (Totalmente desarrollado),5 (Totalmente desarrollado),3,4,5 (Totalmente desarrollado),4,5 (Totalmente desarrollado),,Si,Ecuador,Privado,Tiempo completo,Entre 6 meses y 1 año,3.0,Si,Parcialmente,Sí,Sí,No,Sí,Sí,No,Sí,No,,Si,De $1001 a $1500,,,,,"a) Sí, la he utilizado para postularme a vacantes","Econometría, Macroeconomía, Microeconomía, Finanzas y proyectos, Estadistica multivariante, Tecnicas de desición estocastica, Teoria de juegos, Programación","Se deberia seguir incentivando la certificaciones cursos de uso de herramientas tecnologicas para analisis de datos, procesamiento de información, visualizadore e IA.","En mis ultimos cursos los horarios de las clases no se acoplaban para poder realizar pasantías, sería de gran ayuda que para semestres superiores se pueda generar horarios de clases que permitan participar de practicas preprofesionales.",Liderazgo y comunicación efectiva,"Inteligencia emocional, mediante capacitaciones con profecionales y evaluaciones que evidencien el aprendizaje",INGENIERIA EN CIENCIAS ECONOMICAS Y FINANCIERAS,2024
23,Masculino,,3,3,2,4,4,2,4,,No,,,,,,,,,,,,,,,,,,,Si,Menos de 6 meses,No,,"a) Sí, la he utilizado para postularme a vacantes","Redes industriales, Automatización con PLCs, Álgebra, Robótica, Sistemas Microprocesados, Instrumentación Industrial","Programas de SCADA más actuales, como realizar presupuestos adecuados","Incluir visitas técnicas que ayuden a comprender la aplicación de la carrera en un entorno real, utilización de software más cercano al utilizado en la industria","Gestión del tiempo, creatividad, empatía","Resolución de problemas en grupo, en el ámbito profesional permite tener mejor comunicación con el equipo además de diferentes perspectivas ante un mismo problema",(RRA20) ELECTRÓNICA Y AUTOMATIZACIÓN,2025
35,Masculino,,3,3,4,4,5 (Totalmente desarrollado),5 (Totalmente desarrollado),5 (Totalmente desarrollado),,No,,,,,,,,,,,,,,,,,,,Si,Mas de 2 años,Sí,Experiencia técnica,c) No la conozco,Programación en general,Sincronia de Lenguajes de Programación,"Mas practica menos teoría, la teoría reafirmarla mediante la practica, equivocarse para poder aprender y no sanciones por equivocarse, hallar soluciones en grupos y que sean proyectos aplicables en la sociedad",Resolución de problemas mediante proyectos aplucables a la sociedad,"Liderazgo de proyectos, un ingeniero no es un tecnologo, se encarga de dirigir proyectos y equipos",(RRA20) COMPUTACIÓN,2025
26,Femenino,,4,4,4,4,4,4,5 (Totalmente desarrollado),,Si,Ecuador,Privado,Tiempo completo,Entre 1 y 2 años,4.0,Si,Parcialmente,No,No,No,No,No,No,No,Sí,,Si,De $461 a $1000,,,,,"a) Sí, la he utilizado para postularme a vacantes","Programación orientada a objetos, Aplicaciones web 1 y 2, bases de datos.",Infraestructura en la nube,Disminuir la teoría e incrementar la practica en entornos reales,Comunicación efectiva con personas con roles superiores y trabajo en equipo,Pensamiento critico como materia,(RRA20) SOFTWARE,2025
27,Masculino,,3,3,3,3,4,3,4,,Si,Ecuador,Privado,Tiempo completo,Más de 2 años,2.0,Si,Parcialmente,No,No,No,No,No,No,Sí,No,,No,Hasta $460,,,,,c) No la conozco,"Redes, programación 1 y 2, ciberseguridad, ingeniería financiera,  mecánica",Mas de Inteligencia artificial,"Mejores horarios de clases, menos trabajos en grupo",Gestión,Accesibilidad,(RRA20) SOFTWARE,2025
24,Masculino,,4,3,3,4,4,4,4,,No,,,,,,,,,,,,,,,,,,,Si,Menos de 6 meses,No estoy seguro/a,,"a) Sí, la he utilizado para postularme a vacantes",Ingeniería de Software,TICS,Más prácticas,Comunicación,Liderazgo,(RRA20) SOFTWARE,2025
24,Femenino,,4,3,4,4,5 (Totalmente desarrollado),4,3,,Si,Ecuador,Privado,Tiempo completo,Menos de 6 meses,2.0,Si,Parcialmente,Sí,Sí,Sí,Sí,No,No,No,No,,Si,De $461 a $1000,,,,,"d) No, pero me gustaría conocer más sobre cómo acceder","Aplicaciones web, usabilidad, calidad de software, auditoria, HCI","Testing, uso de herramientas más a profundidad",Que se oferten cursos de otras tecnologías que se usan,Aprendizaje continuo,Gestión del tiempo y la productividad,(RRA20) SOFTWARE,2025
